日期,国家,确诊人数,治愈人数,死亡人数,新增确诊,新增死亡,现有确诊
3月3日,西班牙,114,,0,69,0,114
3月4日,西班牙,151,,0,37,0,151
3月5日,西班牙,198,,1,47,1,198
3月6日,西班牙,257,,3,59,2,257
3月7日,西班牙,401,6,8,144,5,395
3月8日,西班牙,503,30,10,102,2,473
3月9日,西班牙,674,32,17,171,7,642
3月10日,西班牙,1231,32,30,557,13,1199
3月11日,西班牙,1695,135,36,464,6,1560
3月12日,西班牙,2277,183,55,582,19,2094
3月13日,西班牙,3146,189,86,869,31,2957
3月14日,西班牙,5232,193,133,2086,47,5039
3月15日,西班牙,6391,517,195,1159,62,5874
3月16日,西班牙,7845,517,292,1454,97,7328
3月17日,西班牙,9682,530,342,1837,50,9152
3月18日,西班牙,11826,1028,533,2144,191,10798
3月19日,西班牙,14769,1081,638,2943,105,13688
3月20日,西班牙,18077,1107,831,3308,193,16970
3月21日,西班牙,21510,2125,1326,3433,495,19385
3月22日,西班牙,25496,2125,1378,3986,52,23371
3月23日,西班牙,28603,2125,1756,3107,378,26478
3月24日,西班牙,35136,3355,2311,6533,555,31781
3月25日,西班牙,42058,3794,2991,6922,680,38264
3月26日,西班牙,49515,5367,3647,7457,656,44148
3月27日,西班牙,56347,7015,4154,6832,507,49332
3月28日,西班牙,64285,9357,4940,7938,786,54928
3月29日,西班牙,72469,12285,5826,8184,886,60184
3月30日,西班牙,80031,14709,6802,7562,976,65322
3月31日,西班牙,87956,16780,7716,7925,914,71176
4月1日,西班牙,95923,19259,8464,7967,748,76664
4月2日,西班牙,104118,22647,9387,8195,923,81471
4月3日,西班牙,112065,26743,10348,7947,961,85322
4月4日,西班牙,119199,30513,11198,7134,850,88686
4月5日,西班牙,126168,34219,11947,6969,749,91949
4月6日,西班牙,131646,38080,12641,5478,694,93566
4月7日,西班牙,136675,40437,13341,5029,700,96238
4月8日,西班牙,141942,43208,14045,5267,704,98734
4月9日,西班牙,148220,48021,14792,6278,747,100199
4月10日,西班牙,153222,52165,15447,5002,655,101057
4月11日,西班牙,158273,55668,16081,5051,634,102605
4月12日,西班牙,163027,59109,16606,4754,525,103918
4月13日,西班牙,166127,62391,17113,3100,507,103736
4月14日,西班牙,169628,64727,17628,3501,515,104901
4月15日,西班牙,172541,67504,18056,2913,428,105037
4月16日,西班牙,177644,70853,18708,5103,652,106791
4月17日,西班牙,184948,74797,19315,7304,607,110151
4月18日,西班牙,188093,74797,19613,3145,298,113296
4月19日,西班牙,191726,74797,20043,3633,430,116929
4月20日,西班牙,198674,77357,20453,6948,410,121317
4月21日,西班牙,200210,80587,20852,1536,399,119623
4月22日,西班牙,204178,82514,21282,3968,430,121664
4月23日,西班牙,208389,85915,21717,4211,435,122474
4月24日,西班牙,213024,89250,22157,4635,440,123774
4月25日,西班牙,219764,92355,22524,6740,367,127409
4月26日,西班牙,219764,95708,22524,0,0,124056
4月27日,西班牙,207634,117727,23190,-12130,666,89907
4月28日,西班牙,209465,120832,23521,1831,331,88633
4月29日,西班牙,210773,123903,23822,1308,301,86870
4月30日,西班牙,212917,132929,24275,2144,453,79988
5月1日,西班牙,213435,137984,24543,518,268,75451
5月2日,西班牙,215216,142450,24824,1781,281,72766
5月3日,西班牙,216582,146233,25100,1366,276,70349
5月4日,西班牙,217466,148558,25264,884,164,68908
5月5日,西班牙,218011,151633,25428,545,164,66378
5月6日,西班牙,219329,154718,25613,1318,185,64611
5月7日,西班牙,220325,159359,25857,996,244,60966
5月8日,西班牙,221447,163919,26070,1122,213,57528
5月9日,西班牙,222857,168408,26299,1410,229,54449
5月10日,西班牙,223578,173157,26478,721,179,50421
5月11日,西班牙,224390,176439,26621,812,143,47951
5月12日,西班牙,227436,177846,26744,3046,123,49590
5月13日,西班牙,228030,180470,26834,594,90,47560
5月14日,西班牙,228691,183227,26834,661,0,45464
5月15日,西班牙,229540,186480,26834,849,0,43060
5月16日,西班牙,230183,188967,26834,643,0,41216
5月17日,西班牙,230698,192253,26834,515,0,38445
5月18日,西班牙,231360,195945,26834,662,0,35415
5月19日,西班牙,231606,196958,26834,246,0,34648
5月20日,西班牙,232037,196958,26834,431,0,35079
5月21日,西班牙,232555,196958,26834,518,0,35597
