日期,国家,确诊人数,治愈人数,死亡人数,新增确诊,新增死亡,现有确诊
5月1日,美国,1092656,151774,63765,36010,2585,940882
5月2日,美国,1125305,160173,65540,32649,1775,965132
5月3日,美国,1156313,170772,67206,31008,1666,985541
5月4日,美国,1185167,178219,68495,28854,1289,1006948
5月5日,美国,1209702,184354,69476,24535,981,1025348
5月6日,美国,1234487,199148,72054,24785,2578,1035339
5月7日,美国,1256638,205261,74121,22151,2067,1051377
5月8日,美国,1288051,215078,76729,31413,2608,1072973
5月9日,美国,1318526,221919,78494,30475,1765,1096607
5月10日,美国,1342723,232869,79926,24197,1432,1109854
5月11日,美国,1365247,240842,80715,22524,789,1124405
5月12日,美国,1381665,260188,81552,16418,837,1121477
5月13日,美国,1406306,280438,83254,24641,1702,1125868
5月14日,美国,1427185,307755,84971,20879,1717,1119430
5月15日,美国,1453381,316244,86770,26196,1799,1137137
5月16日,美国,1480703,321348,88309,27322,1539,1159355
5月17日,美国,1503684,337563,89454,22981,1145,1166121
5月18日,美国,1525579,343204,90902,21895,1448,1182375
5月19日,美国,1544685,353116,91730,19106,828,1191569
5月20日,美国,1567289,362384,93343,22604,1613,1204905
5月21日,美国,1588666,362135,94743,21377,1400,1226531
5月22日,美国,1617655,381567,96179,28989,1436,1236088
5月23日,美国,1642698,396075,97538,25043,1359,1246623
5月24日,美国,1665027,445009,98639,22329,1101,1220018
5月25日,美国,1684048,451451,99243,19021,604,1232597
5月26日,美国,1703881,461002,99754,19833,511,1242879
5月27日,美国,1722856,477189,100468,18975,714,1245667
5月28日,美国,1742286,485929,101842,19430,1374,1256357
5月29日,美国,1766201,497958,103265,23915,1423,1268243
5月30日,美国,1788719,518114,104386,22518,1121,1270605
5月31日,美国,1814602,528345,105514,25883,1128,1286257
6月1日,美国,1834494,541168,106141,19892,627,1293326
6月2日,美国,1856800,608191,106851,22306,710,1248609
6月3日,美国,1878305,622092,107970,21505,1119,1256213
6月4日,美国,1898459,652021,108993,20154,1023,1246438
6月5日,美国,1921992,705991,110093,23533,1100,1216001
6月6日,美国,1951009,718239,111265,29017,1172,1232770
6月7日,美国,1986111,746976,112046,35102,781,1239135
6月8日,美国,2005813,757107,112477,19702,431,1248706
6月9日,美国,2024283,771060,113024,18470,547,1253223
6月10日,美国,2043291,783082,114088,19008,1064,1260209
6月11日,美国,2064085,800512,115084,20794,996,1263573
6月12日,美国,2087845,813497,115988,23760,904,1274348
6月13日,美国,2114776,837451,116773,26931,785,1277325
6月14日,美国,2140799,849117,117485,26023,712,1291682
6月15日,美国,2160857,860122,117841,20058,356,1300735
6月16日,美国,2182950,889866,118283,22093,442,1293084
6月17日,美国,2203095,898250,119017,20145,734,1304845
6月18日,美国,2231598,911110,119892,28503,875,1320488
6月19日,美国,2257604,924930,120531,26006,639,1332674
6月20日,美国,2293300,953453,121364,35696,833,1339847
6月21日,美国,2326225,966048,121897,32925,533,1360177
6月22日,美国,2352882,977683,122237,26657,340,1375199
6月23日,美国,0,0,0,0,0,0
6月24日,美国,0,0,0,0,0,0
6月25日,美国,0,0,0,0,0,0
6月26日,美国,0,0,0,0,0,0
2月1日,西班牙,1,,0,,0,1
2月2日,西班牙,1,,0,0,0,1
2月3日,西班牙,1,,0,0,0,1
2月4日,西班牙,1,,0,0,0,1
2月5日,西班牙,1,,0,0,0,1
2月6日,西班牙,1,,0,0,0,1
2月7日,西班牙,1,,0,0,0,1
2月8日,西班牙,1,,0,0,0,1
2月9日,西班牙,1,,0,0,0,1
2月10日,西班牙,2,,0,1,0,2
