lat,lng,value
24.2669,-98.8363,56242
19.3139,-98.2404,19337
,,0
19.1738,-96.1342,59476
20.7099,-89.0943,36803
22.7709,-102.5832,29805
7.4256,150.5508,1
47.4116,28.3699,249139
43.7333,7.4167,2432
46.8625,103.8467,31339
42.708678000000006,19.37439,96660
31.7917,-7.0926,509363
-18.665695,35.529562,69665
-22.9576,18.4904,47776
28.1667,84.25,300119
12.5211,-69.9683,10538
12.1784,-68.2385,196
12.1696,-68.99,12119
52.862485,6.618435000000002,30085
52.550383,5.515162,32811
53.087337,5.7925,38135
52.061738,5.939114,162383
53.217922,6.741514,34543
51.209227,5.93387,97925
51.561174,5.184942,233053
52.60090600000001,4.918688,247656
52.444558,6.441722,95110
18.0425,-63.0548,2215
,,3424
52.084251,5.163824,112816
51.47936,3.861559,25001
51.937835,4.462114,348195
-40.9006,174.886,2601
12.865416,-85.207229,6835
17.607789,8.081666,5191
9.082,8.6753,164719
41.6086,21.7453,150588
60.472,8.4689,110612
21.512583,55.92325500000001,188816
34.027401,73.947253,16591
28.328492,65.898403,21743
35.792146,74.982138,5258
33.665087,73.121219,73450
34.485332,72.09169,114077
30.811346,72.13913199999998,290788
26.009446,68.77680699999999,278545
8.538,-80.7821,362967
-6.314993,143.95555,10670
-23.4425,-58.4438,267082
-5.077253,-78.050172,25686
-9.407125,-77.67179499999997,60734
-14.027713,-72.975378,18249
-15.843524,-72.475539,70911
-14.091648,-74.08344,25679
-6.430284,-78.74559599999998,49506
-11.954609,-77.136042,90012
-13.191068,-72.153609,52251
-13.023888,-75.00277,12682
-9.421676,-76.040642,29466
-14.235097,-75.574821,47769
-11.541783,-74.876968,59358
-7.92139,-78.370238,63227
-6.353049,-79.824113,48480
-11.766533,-76.60449799999998,810991
-4.124847,-74.424115,38119
-11.972699,-70.53171999999998,12602
-16.860271,-70.839046,22915
-10.39655,-75.307635,12544
-5.133361,-80.335861,68157
-14.995826999999998,-69.922726,28181
-7.039531,-76.729127,39184
-17.644160999999997,-70.27756,23089
-3.857496,-80.54525500000003,14881
